Name,Gender,Period,Political Party,Position,Early Life,Education,Political Career,Family
Sir John Kotelawala,Male,12 October 1953 - 12 April 1956,United National Party,Prime Minister,"b'Kotelawala was born on 4 April 1897 to John Kotelawala Snr, a police inspector, who later turned businessman and Alice Elisabeth Kotalawala (nee Attygalle), daughter of Mudaliyar Don Charles Gemoris Attygalle, a wealthy land and mine owner. He had a younger brother Justin Kotalawela and a sister Freda, who later married C. V. S. Corea.'",b'',"b""As early as 1915 Kotelawala had become involved with political leaders such as Don Stephen Senanayake and his brother F.R. Senanayake, who was married to Kotelawala's mother's sister. They criticized many of the actions of the British colonial officials following the riots in 1915.""","b'He married Effie Manthri Dias Bandaranaike daughter of F. H. Dias Bandaranaike and Maria Frances Dias Bandaranaike nee Senanayake. Effie Bandaranaike was the niece of Don Stephen Senanayake. Although the marriage was not successful, ending in divorce, it produced a daughter Lakshmi Kotelawala who married Henry Gerald Kotalawala.'"
S.W.R.D. Bandaranaike,Male,12 April 1956 - 26 September 1959,Sri Lanka Freedom Party(Mahajana Eksath Peramuna),Prime Minister,"b'Bandaranaike was born in Colombo, Ceylon, to the wealthy Sinhalese Anglican Christian Bandaranaike family, which had become one of the more elite native families under the British administration. His father was Sir Solomon Dias Bandaranaike, the Maha Mudaliyar of Ceylon at the time[note 1], while his mother, Daisy Ezline Obeyesekere, was a daughter of Sir Solomon Christoffel Obeyesekere, a member of the Legislative Council of Ceylon. Sir Solomon named his only son after Sir Joseph West Ridgeway, the Governor of Ceylon at the time, who was his godfather[clarification needed]. He had two sisters, Alexandra Camelia, and Anna Florentina. Sir Forester Obeysekera was his maternal uncle.'","b""He was tutored at his home, Horagolla Walauwa, by Mr. Henry Young, an English tutor from Nuwaraeliya, and for a short time attended S. Thomas' College, Mutwal, where he boarded with the warden, Rev. Arthur William Stone. He passed his Senior Cambridge examinations with distinctions in English, Latin, Greek and French, and gained the second Order of Merit in the British Empire that year. He entered Christ Church, Oxford, where he read philosophy, politics and economics, and graduated with honours in 1923. At Oxford, he was Secretary of the Oxford Union and President of the Majlis Society; his contemporaries at Oxford included Anthony Eden. In 1924, he became a barrister and was called to the bar at the Inner Temple; on his return to Ceylon, he took oaths as an Advocate of the Supreme Court of Ceylon.""","b'After his return from Britain, Bandaranaike became active in local politics. He got elected as the Chairman of the Nittambuwa Village Committee in his family seat. He became Secretary of the Ceylon National Congress (CNC) in 1926, and in December the same year was elected from the Maradana Ward to the Colombo Municipal Council, defeating the trade unionist A. E. Goonesinha.'","b'In 1940, he married Sirima Ratwatte, daughter of Barnes Ratwatte Rate Mahatmaya, later Dissawa of Sabaragamuwa. Ratwatte was an old Radala family hailing from the Kingdom of Kandy and the Bandaranaike\'s were an old and wealthy family from the low-country which had been in service of the colonial rulers for centuries. The wedding was dubbed ""the wedding of the century"" and linked Bandaranaike with the Kandyan elite through marriage.'"
Wijeyananda Dahanayake,Male,26 September 1959 - 20 March 1960,Sinhala Language Front(Mahajana Eksath Peramuna),Prime Minister,"b'He was born as a twin in Dangedera, Richmond Hill, Galle and was named Don Wijeyananda Dahanayake after the Wijayananda Pirivena. His father was Don Dionesius Panditha Sepala Dahanayake, was a Muhandiram, who later served as the Kackckeri Mudliyar of Galle and was a scholar in oriental languages. His twin brother was Kalyanapriya Dahanayake.'","b""Dahanayake received his education first at Rippon Girls' School, Galle and then at the Government English Training School on Thurstan Road, Colombo; before moving to Richmond College, Galle and S. Thomas' College, Mount Lavinia for his secondary education.""","b'Dahanayake became active in pre-independence politics while serving as a teacher and switched to full-time politics. As a member of the Trotskyite Lanka Sama Samaja Party, he was elected to the Galle Municipal Council from the Kumbalwella Ward, which he held until 1944. He was elected the first Mayor of Galle in 1939 and served till 1941. When World War II started in the far-east, the Lanka Sama Samaja Party refused to support the British war effort. Dahanayake was prosecuted by the police for organizing a strike during the height of war, which angered the British colonial administration. He represented himself in court without a lawyer and won against the crown prosecution.'","b""Dahanayake was a simple man. When appointed Prime Minister, he moved into Temple Trees carrying his own things in two old suitcases from his room in the Srawasthi Mandiraya. He found the prime minister's bed room too large and had it partitioned. When he resigned from the post of prime minister following his electoral defeat, he packed his personal belongings to the same suitcase left Temple Trees to Galle. He remained a bachelor throughout his life until he married the widow of his twin brother after his death in order to grant her a widow's pension which he was entitled to as a retired member of parliament."""
Dudley Senanayake,Male,21 March 1960 - 21 July 1960,United National Party,Prime Minister,"b'Dudley Senanayake was born on 19 June 1911 to the wealthy Senanayake family which was at the time becoming active in local colonial-era politics. His paternal grandfather Mudaliyar Don Spater Senanayake established the family wealth through graphite mining, which he later expanded into plantations and investments in the arrack renting franchise. His parents were Don Stephen Senanayake and Molly Dunuwila. He was the eldest in the family with a younger brother Robert.'","b""Dudley received his secondary education at the prestigious S. Thomas' College, where he excelled in his studies and sports. He became the Head Prefect, captained the college team at cricket at the Royal-Thomian and gained colours in hockey, boxing, and athletics. He won the Victoria Gold Medal for the most outstanding student at S. Thomas'. Senanayake then went on to Corpus Christi College, Cambridge to read for Natural Science Tripos and after graduation gained admission to the Middle Temple as a Barrister.""","b""After returning to Ceylon in 1935, Dudley took oaths as an Advocate of the Supreme Court of Ceylon and briefly embanked on a legal practice under H. V. Perera, KC before entering politics on his father's urging. He was elected from the Dedigama electorate in 1936 to the State Council, while his father was Minister of Agriculture and served as a back-bencher for ten years. As State Councillor of Dedigama, he undertook much development work in his electorate developing roads, hospitals, schools and police stations. \nDuring this time he became active in the Ceylon National Congress (CNC) having been appointed in December 1939 as its joint secretary with J. R. Jayewardene another young lawyer who had been elected to the Colombo Municipal Council. The CNC was urging for the independence of Ceylon to the extent his father, D. S. Senanayake resigned from the congress because he disagreed with its revised aim of achieving complete independence from the British Empire, preferring Dominion status and its inclusion of Marxists. Following his father's resignation, Dudley succeeded his father as Minister of Agriculture and Lands in the second board of ministers of the state council in 1946.""",b''
Sirimavo Bandaranaike,Female,21 July 1960 - 25 March 1965,Sri Lanka Freedom Party,Prime Minister,"b'Bandaranaike was born Sirima Ratwatte on 17 April 1916 at the Ellawala Walawwa in Ratnapura, in British Ceylon. Her mother was Rosalind Hilda Mahawalatenne Kumarihamy, a reputed Ayurvedic physician, and her father was Barnes Ratwatte, a politician. Her maternal grandfather Mahawalatenne, and later her father, served as Rate Mahatmaya, a native headman, of Balangoda. Her father was a member of the Radala, hereditary nobility from the Kingdom of Kandy. Her paternal ancestry included her uncle Sir Jayatilaka Cudah Ratwatte, the first person from Kandy to receive a British knighthood, as well as courtiers serving Sinhalese monarchs. One of these, Ratwatte, Dissawa of Matale, was a signatory of the 1815 Kandyan Convention.'",b'',"b'In May 1960, Bandaranaike was unanimously elected party president by the executive committee of the Freedom Party, although at the time she was still undecided about running in the July election. Disavowing former party ties with Communists and Trotskyists, by early June she was campaigning with promises to carry forward the policies of her husband  in particular, establishing a republic, enacting a law to establish Sinhala as the official language of the country, and recognising the predominance of Buddhism, though tolerating the estate Tamils use of their own language and Hindu faith. Though there had been Tamil populations in the country for centuries, the majority of the estate Tamils had been brought to Ceylon from India by the British authorities as plantation workers. Many Ceylonese viewed them as temporary immigrants, even though they had lived for generations in Ceylon. With Ceylon\'s independence, the Citizenship Act of 1948 excluded these Indian Tamils from citizenship, making them stateless. S.W.R.D.\'s policy toward the stateless Tamils had been moderate, granting some citizenship and allowing productive workers to remain. His successor, Dudley Senanayake, was the first to recommend compulsory repatriation for the population. Bandaranaike toured the country and made emotional speeches, frequently bursting into tears as she pledged herself to continue her late husband\'s policies. Her actions earned her the title ""The Weeping Widow"" from her opponents.'",b''
Dudley Senanayake,Male,25 March 1965 - 29 May 1970,United National Party,Prime Minister,"b'Dudley Senanayake was born on 19 June 1911 to the wealthy Senanayake family which was at the time becoming active in local colonial-era politics. His paternal grandfather Mudaliyar Don Spater Senanayake established the family wealth through graphite mining, which he later expanded into plantations and investments in the arrack renting franchise. His parents were Don Stephen Senanayake and Molly Dunuwila. He was the eldest in the family with a younger brother Robert.'","b""Dudley received his secondary education at the prestigious S. Thomas' College, where he excelled in his studies and sports. He became the Head Prefect, captained the college team at cricket at the Royal-Thomian and gained colours in hockey, boxing, and athletics. He won the Victoria Gold Medal for the most outstanding student at S. Thomas'. Senanayake then went on to Corpus Christi College, Cambridge to read for Natural Science Tripos and after graduation gained admission to the Middle Temple as a Barrister.""","b""After returning to Ceylon in 1935, Dudley took oaths as an Advocate of the Supreme Court of Ceylon and briefly embanked on a legal practice under H. V. Perera, KC before entering politics on his father's urging. He was elected from the Dedigama electorate in 1936 to the State Council, while his father was Minister of Agriculture and served as a back-bencher for ten years. As State Councillor of Dedigama, he undertook much development work in his electorate developing roads, hospitals, schools and police stations. \nDuring this time he became active in the Ceylon National Congress (CNC) having been appointed in December 1939 as its joint secretary with J. R. Jayewardene another young lawyer who had been elected to the Colombo Municipal Council. The CNC was urging for the independence of Ceylon to the extent his father, D. S. Senanayake resigned from the congress because he disagreed with its revised aim of achieving complete independence from the British Empire, preferring Dominion status and its inclusion of Marxists. Following his father's resignation, Dudley succeeded his father as Minister of Agriculture and Lands in the second board of ministers of the state council in 1946.""",b''
Sirimavo Bandaranaike,Female,29 May 1970 - 22 May 1972,Sri Lanka Freedom Party,Prime Minister,"b'Bandaranaike was born Sirima Ratwatte on 17 April 1916 at the Ellawala Walawwa in Ratnapura, in British Ceylon. Her mother was Rosalind Hilda Mahawalatenne Kumarihamy, a reputed Ayurvedic physician, and her father was Barnes Ratwatte, a politician. Her maternal grandfather Mahawalatenne, and later her father, served as Rate Mahatmaya, a native headman, of Balangoda. Her father was a member of the Radala, hereditary nobility from the Kingdom of Kandy. Her paternal ancestry included her uncle Sir Jayatilaka Cudah Ratwatte, the first person from Kandy to receive a British knighthood, as well as courtiers serving Sinhalese monarchs. One of these, Ratwatte, Dissawa of Matale, was a signatory of the 1815 Kandyan Convention.'",b'',"b'In May 1960, Bandaranaike was unanimously elected party president by the executive committee of the Freedom Party, although at the time she was still undecided about running in the July election. Disavowing former party ties with Communists and Trotskyists, by early June she was campaigning with promises to carry forward the policies of her husband  in particular, establishing a republic, enacting a law to establish Sinhala as the official language of the country, and recognising the predominance of Buddhism, though tolerating the estate Tamils use of their own language and Hindu faith. Though there had been Tamil populations in the country for centuries, the majority of the estate Tamils had been brought to Ceylon from India by the British authorities as plantation workers. Many Ceylonese viewed them as temporary immigrants, even though they had lived for generations in Ceylon. With Ceylon\'s independence, the Citizenship Act of 1948 excluded these Indian Tamils from citizenship, making them stateless. S.W.R.D.\'s policy toward the stateless Tamils had been moderate, granting some citizenship and allowing productive workers to remain. His successor, Dudley Senanayake, was the first to recommend compulsory repatriation for the population. Bandaranaike toured the country and made emotional speeches, frequently bursting into tears as she pledged herself to continue her late husband\'s policies. Her actions earned her the title ""The Weeping Widow"" from her opponents.'",b''
Junius Richard Jayewardene,Male,23 July 1977 - 4 February 1978,United National Party,Prime Minister,"b'Born to a prominent Ceylonese family with a strong association with the legal profession, Jayewardene was the eldest of twelve children, of Hon. Justice Eugene Wilfred Jayewardene KC, a prominent lawyer and Agnes Helen Don Philip Wijewardena daughter of Tudugalage Muhandiram Don Philip Wijewardena a wealthy merchant. He was known as Dickie within his family. His younger brothers included Hector Wilfred Jayewardene, QC and Rolly Jayewardene, FRCP. His uncles were the Colonel Theodore Jayewardene, Justice Valentine Jayewardene and the Press Baron D. R. Wijewardena.'","b'Jayewardene gained admission to Royal College, Colombo for his secondary education. There he excelled in sports, played for the college cricket team, debuting in the Royal-Thomian series in 1925; captained the rugby team in 1924 at the annual ""Royal-Trinity Encounter"" (which later became known as the Bradby Shield Encounter); he was the vice captain of the football team in 1924; and was a member of the boxing team winning sports colours. He was a Senior Cadet; Captain, Debating Team; Editor, College Magazine; first Secretary in Royal College Social Services League in 1921 and he became the head prefect in 1925. In later life, he served as President, Board of Control for Cricket in Sri Lanka; President, Sinhalese Sports Club; and Secretary, Royal College Union.'",b'Jayewardene was attracted to national politics in his student years and developed strong nationalist views. He converted from Anglicanism to Buddhism and adopted the national dress as his formal attire.',"b'On 28 February 1935, Jayewardene married the heiress Miss Elina Bandara Rupasinghe, only daughter of Nancy Margaret Suriyabandara and Gilbert Leonard Rupasinghe, a notary public turned successful businessmen. Their only child Ravindra ""Ravi"" Vimal Jayewardene was born the year after.  Having originally settled at Jayewardene\'s parents house Vaijantha, the Jayewardene\'s moved to their own house Braemar in 1938, where they remained the rest of their lives, when not holidaying at their holiday home in Mirissa.'"
Ranasinghe Premadasa,Male,6 February 1978 - 2 January 1989,United National Party,Prime Minister,"b'Ranasinghe Premadasa was born on 23 June 1924 at Dias Place, Colombo 11, to the family of Richard Ranasinghe (Ranasinghe Mudalali) of Kosgoda and Battuwita Jayasinghe Arachchige Ensina Hamine of Batuwita, Horana. Premadasa was the oldest of five children, three sisters, and one brother. His father was engaged in the transport business in Colombo employing rickshaws.'",b'',"b""Allying with A. E. Goonesinghe, the founder leader of the Ceylon Labour movement, Premadasa started his political career in 1946 joining the Ceylon Labour Party as a full time member and campaigned for Goonesinghe in the 1947 general election. In 1950, he was elected to the Colombo Municipal Council as a member of San Sebastian's Ward.""","b'Premadasa married Hema Wickramatunge, only daughter of Mr. and Mrs. Wickramatunge Arachchige Charles Appuhamy of Bandarawela on 23 June 1964. They had a son, Sajith, and a daughter, Dulanjali. A hard worker, Premadasa was known for raising early and following a strict routine. He lived and work from his private residence and office, Sucharitha even during his tenure as prime minister and president.'"
Dingiri Banda Wijetunga,Male,6 March 1989 - 7 May 1993,United National Party,Prime Minister,"b""Wijetunga was born on 15 February 1916 to Wijethunga Mudiyanselage Delgahapitiya Arachchila and his wife Manamperi Mudiyanselage Palingumanike Manamperi, as the eldest in a middle class Sinhala Buddhist family living on the outskirts of the then Udunuwara parliamentary seat in the Kandy District of the Central Province in Sri Lanka. He completed his primary education at Waligalla Central College thereafter moved on to St Andrew's College in Gampola.""",b'',b'He closely associated with veteran politicians like George E. de Silva and A. Ratnayaka. A. Ratnayake who was then Minister of Food and Co-operatives in the D.S. Senanayake Cabinet took him as his Private Secretary.',b''
